,날짜,누적수익률_Opt,누적수익률_714157,누적수익률_714207,누적수익률_714243,누적수익률,최고누적,DD,MDD,HL,HLcount,cummax,underwater
548,20190403,480.9652645217776,554.32,460.53,357.74,5.809652645217776,5.819120942407179,-0.0016271009458493912,-0.041501962815291504,-1,-5,5.819120942407179,True
549,20190404,491.22684992393476,564.91,470.17,368.45,5.912268499239348,5.912268499239348,0.0,-0.041501962815291504,1,1,5.912268499239348,False
550,20190405,496.7546641164704,582.55,464.84,367.75,5.967546641164704,5.967546641164704,0.0,-0.041501962815291504,1,2,5.967546641164704,False
551,20190408,496.48778820308144,580.04,466.81,368.21,5.964877882030814,5.967546641164704,-0.00044721211150333673,-0.041501962815291504,-1,-1,5.967546641164704,True
552,20190409,498.08075052187826,577.29,474.34,368.18,5.980807505218783,5.980807505218783,0.0,-0.041501962815291504,1,1,5.980807505218783,False
553,20190410,503.2864435119189,581.65,481.82,370.96,6.032864435119189,6.032864435119189,0.0,-0.041501962815291504,1,2,6.032864435119189,False
554,20190411,501.1260773292553,578.49,481.04,368.4,6.011260773292553,6.032864435119189,-0.003580995737426873,-0.041501962815291504,-1,-1,6.032864435119189,True
555,20190412,507.8793817426032,591.35,484.6,367.71,6.078793817426032,6.078793817426032,0.0,-0.041501962815291504,1,1,6.078793817426032,False
556,20190415,510.98487092208694,598.73,483.83,368.7,6.109848709220869,6.109848709220869,0.0,-0.041501962815291504,1,2,6.109848709220869,False
557,20190416,514.8271616262409,604.5,485.86,371.71,6.148271616262409,6.148271616262409,0.0,-0.041501962815291504,1,3,6.148271616262409,False
558,20190417,513.4081344226449,598.77,488.23,372.65,6.134081344226449,6.148271616262409,-0.0023080099451732172,-0.041501962815291504,-1,-1,6.148271616262409,True
559,20190418,507.78624571401843,592.51,482.77,368.13,6.077862457140184,6.148271616262409,-0.011451862168221472,-0.041501962815291504,-1,-2,6.148271616262409,True
560,20190419,511.8769997802688,604.36,481.57,365.09,6.118769997802688,6.148271616262409,-0.0047983596530915,-0.041501962815291504,-1,-3,6.148271616262409,True
561,20190422,517.6796586135584,607.24,489.81,372.74,6.176796586135584,6.176796586135584,0.0,-0.041501962815291504,1,1,6.176796586135584,False
562,20190423,533.2529455790814,624.8,502.84,388.73,6.332529455790814,6.332529455790814,0.0,-0.041501962815291504,1,2,6.332529455790814,False
563,20190424,525.9950573945619,619.02,493.58,381.99,6.259950573945619,6.332529455790814,-0.011461278206740144,-0.041501962815291504,-1,-1,6.332529455790814,True
564,20190425,512.189600612296,608.41,472.75,374.39,6.1218960061229595,6.332529455790814,-0.033262135002820936,-0.041501962815291504,-1,-2,6.332529455790814,True
565,20190426,510.2820998158264,610.18,464.87,375.64,6.102820998158264,6.332529455790814,-0.036274360701550656,-0.041501962815291504,-1,-3,6.332529455790814,True
566,20190429,510.0409193658867,604.0,470.15,378.08,6.100409193658867,6.332529455790814,-0.036655220280054746,-0.041501962815291504,-1,-4,6.332529455790814,True
567,20190430,512.1225242841541,606.82,471.47,379.97,6.1212252428415415,6.332529455790814,-0.03336805843927726,-0.041501962815291504,-1,-5,6.332529455790814,True
568,20190502,523.8542065373638,617.5,486.25,388.27,6.238542065373638,6.332529455790814,-0.01484199814202658,-0.041501962815291504,-1,-6,6.332529455790814,True
569,20190503,522.1493232248706,608.76,490.36,391.11,6.221493232248706,6.332529455790814,-0.017534260885367137,-0.041501962815291504,-1,-7,6.332529455790814,True
570,20190507,535.389412497303,622.19,513.38,385.48,6.3538941249730305,6.3538941249730305,0.0,-0.041501962815291504,1,1,6.3538941249730305,False
571,20190508,539.3315134646562,634.73,507.14,389.67,6.393315134646562,6.393315134646562,0.0,-0.041501962815291504,1,2,6.393315134646562,False
572,20190509,550.4422140739285,656.9,503.24,404.71,6.504422140739285,6.504422140739285,0.0,-0.041501962815291504,1,3,6.504422140739285,False
573,20190510,554.7392423892354,674.01,497.19,400.27,6.547392423892354,6.547392423892354,0.0,-0.041501962815291504,1,4,6.547392423892354,False
574,20190513,548.5370924004327,659.69,497.19,400.27,6.485370924004327,6.547392423892354,-0.009472702393964139,-0.041501962815291504,-1,-1,6.547392423892354,True
575,20190514,556.4760176305132,678.02,497.19,400.27,6.564760176305132,6.564760176305132,0.0,-0.041501962815291504,1,1,6.564760176305132,False
576,20190515,559.3584470329749,676.01,505.39,403.91,6.593584470329749,6.593584470329749,0.0,-0.041501962815291504,1,2,6.593584470329749,False
577,20190516,561.1686124017451,679.15,506.78,403.58,6.611686124017451,6.611686124017451,0.0,-0.041501962815291504,1,3,6.611686124017451,False
578,20190517,571.5982103776979,700.72,508.57,405.74,6.715982103776979,6.715982103776979,0.0,-0.041501962815291504,1,4,6.715982103776979,False
579,20190520,578.4690927546882,703.51,521.68,409.84,6.784690927546881,6.784690927546881,0.0,-0.041501962815291504,1,5,6.784690927546881,False
580,20190521,580.7059226929292,711.2,519.56,408.27,6.807059226929292,6.807059226929292,0.0,-0.041501962815291504,1,6,6.807059226929292,False
581,20190522,588.0962461849023,715.74,529.71,416.74,6.880962461849022,6.880962461849022,0.0,-0.041501962815291504,1,7,6.880962461849022,False
582,20190523,596.3458531234166,734.93,529.31,417.18,6.963458531234166,6.963458531234166,0.0,-0.041501962815291504,1,8,6.963458531234166,False
583,20190524,581.1680891418758,712.05,517.63,412.39,6.811680891418758,6.963458531234166,-0.021796301239480176,-0.041501962815291504,-1,-1,6.963458531234166,True
584,20190527,587.5208469415509,714.71,525.02,424.93,6.875208469415509,6.963458531234166,-0.012673309020627799,-0.041501962815291504,-1,-2,6.963458531234166,True
585,20190528,594.9664697405348,731.36,525.08,426.01,6.949664697405348,6.963458531234166,-0.0019808883426168933,-0.041501962815291504,-1,-3,6.963458531234166,True
586,20190529,588.5474888024713,718.35,524.05,423.96,6.885474888024714,6.963458531234166,-0.011198981491691518,-0.041501962815291504,-1,-4,6.963458531234166,True
587,20190530,581.4871093730374,718.08,509.64,415.79,6.814871093730374,6.963458531234166,-0.02133816649260023,-0.041501962815291504,-1,-5,6.963458531234166,True
588,20190531,576.0542477054184,718.0,500.89,404.81,6.760542477054185,6.963458531234166,-0.029140125308395826,-0.041501962815291504,-1,-6,6.963458531234166,True
589,20190603,579.1429969799916,721.97,505.19,403.67,6.791429969799916,6.963458531234166,-0.024704471300091235,-0.041501962815291504,-1,-7,6.963458531234166,True
590,20190604,595.3010747277445,745.78,514.04,416.74,6.953010747277445,6.963458531234166,-0.0015003728262124039,-0.041501962815291504,-1,-8,6.963458531234166,True
591,20190605,588.0504529699255,736.34,509.73,408.77,6.880504529699254,6.963458531234166,-0.011912758748088614,-0.041501962815291504,-1,-9,6.963458531234166,True
592,20190607,591.7925306547439,739.85,515.43,409.33,6.917925306547439,6.963458531234166,-0.006538880713152895,-0.041501962815291504,-1,-10,6.963458531234166,True
